[/Volumes/arrdata/media/music/Akon Feat. Sean Biggs/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Sean Biggs/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Sean Biggs/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Sizzla, Vibez Carte/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Sizzla, Vibez Carte/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Sizzla, Vibez Carte/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Styles P/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Styles P/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Styles P/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. The Youngbloodz/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. The Youngbloodz/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. The Youngbloodz/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon Feat. Young Jeezy/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon Feat. Young Jeezy/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon Feat. Young Jeezy/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon/A Star Is Born-Hosted By DJ E_] LOG: No files imported from /Volumes/arrdata/media/music/Akon/A Star Is Born-Hosted By DJ E_ | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon/A Star Is Born-Hosted By DJ E_"
[/Volumes/arrdata/media/music/Akon/Freedom (2008)] LOG: No files imported from /Volumes/arrdata/media/music/Akon/Freedom (2008) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon/Freedom (2008)"
[/Volumes/arrdata/media/music/Akon/Konvicted (2006)] LOG: No files imported from /Volumes/arrdata/media/music/Akon/Konvicted (2006) | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon/Konvicted (2006)"
[/Volumes/arrdata/media/music/Akon/Trouble] LOG: No files imported from /Volumes/arrdata/media/music/Akon/Trouble | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Akon/Trouble"
[/Volumes/arrdata/media/music/Al Di Meola, Stomu Yamashta & Steve Winw/Go] LOG: No files imported from /Volumes/arrdata/media/music/Al Di Meola, Stomu Yamashta & Steve Winw/Go | Skipped 1 paths. | DIAG: plugin paths: [] | Loading plugins: chroma, discogs, edit, ftintitle, ihate, lastgenre, mbsync, missing, musicbrainz, parentwork, scrub, zero | lastgenre: Loading whitelist /Users/olindo/.local/pipx/venvs/beets/lib/python3.14/site-packages/beetsplug/lastgenre/genres.txt | Sending event: pluginload | library database: /Users/olindo/prj/k8s-lab/import_music/musiclibrary.db | CMD: beet import -i "/Volumes/arrdata/media/music/Al Di Meola, Stomu Yamashta & Steve Winw/Go"
